Nama Produk,SKU / Kode Produk,Barcode,Kategori,Satuan Dasar,Merk / Brand,Lokasi / Rak,Hitung Stok (ya/tidak),Harga Modal / Beli,Harga Jual Eceran,Harga Jual Grosir,Harga Jual Promo,Diskon per Item (Rp),Stok di Rak / Display,Stok di Gudang,Stok Minimum,Stok Minimum Gudang,Satuan Beli dari Supplier,Isi per Satuan Beli,Satuan Jual Besar,Harga Jual Besar Satuan,Harga Jual Besar Grosir,Harga Jual Besar Promo,Produk Master (ID),Qty Isi per Paket,Jenis Isi Paket,Satuan Isi Paket,HPP (AVCO),Total Aset
SIKU RAK 8 X 10 PROFIX,SR8X10 PROF,MPRSIK01,Umum,PCS,PROFIX,,tidak,0,35000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
SIKU RAK PUTIH 10 X 12 GRT,SR10X12 PTH,MGRSIK01,Umum,PCS,GRT,,tidak,0,55575,0,0,0,0,0,3,,,1,,,,,,,,,0,0
SIKU RAK PUTIH 10X12 OLIQ,MOLSIK01,MOLSIK01,Umum,PCS,OLIQ,Area 03,tidak,0,0,0,0,0,0,0,3,,PCS,12,PCS,0,0,0,,,,,0,0
SIKU RAK PUTIH 12 X 14 GRT,SR12X14 PTH,MGRSIK02,Umum,PCS,GRT,,tidak,0,68875,0,0,0,0,0,3,,,1,,,,,,,,,0,0
"SIKU RAK PUTIH 120X170X1,2MM IGM",MIGSIK01,MIGSIK01,Umum,PCS,IGM,Area 03,tidak,0,0,0,0,0,0,0,3,,PCS,12,PCS,0,0,0,,,,,0,0
SIKU RAK PUTIH 12X14 WANLY,MWASIK02,MWASIK02,Umum,PCS,WANLY,Area 03,tidak,0,0,0,0,0,0,0,3,,PCS,12,PCS,0,0,0,,,,,0,0
"SIKU RAK PUTIH 155X220X1,2MM IGM",MIGSIK02,MIGSIK02,Umum,PCS,IGM,Area 03,tidak,0,0,0,0,0,0,0,3,,PCS,12,PCS,0,0,0,,,,,0,0
"SIKU RAK PUTIH 220X320X1,3MM IGM",MIGSIK03,MIGSIK03,Umum,PCS,IGM,Area 03,tidak,0,0,0,0,0,0,0,3,,PCS,12,PCS,0,0,0,,,,,0,0
SIKU RAK PUTIH 3X4 BIASA,MGLSIK01,MGLSIK01,Umum,PCS,GLX,Area 03,tidak,0,2500,0,0,0,0,0,3,,PCS,12,PCS,30000,0,0,,,,,0,0
SIKU RAK PUTIH 4X5 BIASA,MGLSIK02,MGLSIK02,Umum,PCS,GLX,Area 03,tidak,0,4000,0,0,0,0,0,3,,PCS,12,PCS,48000,0,0,,,,,0,0
SIKU RAK PUTIH 5 X 6 KR,SR5X6 PTH KR,MKUSIK01,Umum,PCS,KURA,,tidak,0,29400,0,0,0,0,0,3,,,1,,,,,,,,,0,0
SIKU RAK PUTIH 5X6 BIASA,SR5X6 PTH,MGRSIK03,Umum,PCS,GRT,,tidak,0,6000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
SIKU RAK PUTIH 6X8 BIASA,SR6X8 PTH,MGRSIK04,Umum,PCS,GRT,,tidak,0,7500,0,0,0,0,0,3,,,1,,,,,,,,,0,0
